Epoch,Train_Loss,Val_Loss
1,9.056834964916623,3.4403702872140065
2,2.959187125337535,3.1937502452305386
3,2.4925763607025146,2.806250674383981
4,2.0249969938705705,2.7189998967306956
5,1.622131990975347,2.148433038166591
