Epoch,Train_Loss,Val_Loss
1,7.948703437015928,3.152583565030779
2,2.6601270519453903,2.814631359917777
3,2.2891638155641227,2.4217502730233327
4,1.8826853715140244,2.212880492210388
5,1.5749474034227173,2.047743695122855
